pgc,a,e_a,b,e_b,pa,e_pa,z,e_z
1,11.393,,10.863226,,139.74,1.5739560485559634,0.0816721680169819,1.43432567297e-05
1,10.219,,9.743816,,139.74,1.2388784397520523,0.0816721680169819,1.43432567297e-05
1,9.4025,,8.965283,,139.74,1.6585979199113825,0.0816721680169819,1.43432567297e-05
1,7.4265,0.0151,7.0811677,0.01439785,139.74,1.497368029059364,0.0816721680169819,1.43432567297e-05
1,9.5893,0.0187,9.143397,0.01783045,139.74,0.8941773478876496,0.0816721680169819,1.43432567297e-05
1,12.0945,0.0234,11.532105,0.0223119,139.74,1.775622351636756,0.0816721680169819,1.43432567297e-05
1,14.9587,0.0201,14.263121,0.01916535,139.74,1.561139701990353,0.0816721680169819,1.43432567297e-05
1,18.2661,0.0148,17.416727,0.0141118,139.74,1.5860643052769539,0.0816721680169819,1.43432567297e-05
1,22.0542,0.0238,21.028679,0.0226933,139.74,0.9281136326755459,0.0816721680169819,1.43432567297e-05
1,26.3818,0.0348,25.155046,0.0331818,139.74,1.250385937895567,0.0816721680169819,1.43432567297e-05
1,31.0034,0.0516,29.561743,0.0492006,139.74,1.1707980242325813,0.0816721680169819,1.43432567297e-05
1,35.8787,0.0987,34.21034,0.09411045,139.74,1.7267649888486019,0.0816721680169819,1.43432567297e-05
2,55.99139,4.2545233,35.32818,3.520512,163.5,1.4438651200806647,0.0167339099638056,2.13481024108e-05
3,,,,,,,0.0298673290840425,9.67335876075e-05
4,16.857,,3.6225693,,62.18,1.243414198827331,0.0148826292354559,1.23418716814e-05
4,16.556,,3.5578845,,62.18,1.027238721784777,0.0148826292354559,1.23418716814e-05
4,16.904,,3.6326697,,62.18,1.3545847870158347,0.0148826292354559,1.23418716814e-05
4,10.1945,0.0547,2.190798,0.01175503,62.18,0.8638172561041754,0.0148826292354559,1.23418716814e-05
4,15.0254,0.0664,3.2289584,0.01426936,62.18,1.627631171992582,0.0148826292354559,1.23418716814e-05
4,19.4072,0.0974,4.170607,0.02093126,62.18,1.4316643991220648,0.0148826292354559,1.23418716814e-05
4,23.8829,0.1313,5.1324353,0.02821637,62.18,1.5580877400853739,0.0148826292354559,1.23418716814e-05
4,28.5906,0.1577,6.1441197,0.03388973,62.18,1.1545259681298683,0.0148826292354559,1.23418716814e-05
4,32.6488,0.1623,7.0162272,0.03487827,62.18,1.7706980243949033,0.0148826292354559,1.23418716814e-05
4,35.683,0.1742,7.668277,0.03743558,62.18,1.6931211213221977,0.0148826292354559,1.23418716814e-05
4,38.5413,0.1892,8.282525,0.04065908,62.18,1.5783834970737618,0.0148826292354559,1.23418716814e-05
4,41.6941,0.2414,8.960062,0.05187686,62.18,0.9946387078519676,0.0148826292354559,1.23418716814e-05
4,25.652002,2.126373,5.677031,0.62962353,63.25,1.2667210037270342,0.0148826292354559,1.23418716814e-05
5,5.2865,,4.6811957,,114.32,0.8438037657872288,0.0345745855954788,5.33702552317e-05
5,4.8631,,4.306275,,114.32,0.9542894920675479,0.0345745855954788,5.33702552317e-05
5,5.0072,,4.4338756,,114.32,1.4830489532424547,0.0345745855954788,5.33702552317e-05
5,12.1358,0.0175,10.746251,0.01549625,114.32,1.5447621559078173,0.0345745855954788,5.33702552317e-05
5,15.0346,0.0181,13.313138,0.01602755,114.32,1.7675097324342102,0.0345745855954788,5.33702552317e-05
5,18.351,0.0204,16.249811,0.0180642,114.32,1.1258253581381519,0.0345745855954788,5.33702552317e-05
5,21.8374,0.0284,19.337017,0.0251482,114.32,1.170459706034869,0.0345745855954788,5.33702552317e-05
5,25.4341,0.0242,22.521896,0.0214291,114.32,1.2695558112758079,0.0345745855954788,5.33702552317e-05
5,29.3382,0.033,25.978975,0.0292215,114.32,0.9894713590842857,0.0345745855954788,5.33702552317e-05
5,33.6754,0.0551,29.819567,0.04879105,114.32,0.9299215053354717,0.0345745855954788,5.33702552317e-05
5,38.4367,0.142,34.035698,0.125741,114.32,1.275704926225934,0.0345745855954788,5.33702552317e-05
5,43.4885,0.1402,38.509068,0.1241471,114.32,1.026909349050884,0.0345745855954788,5.33702552317e-05
6,3.2154,,2.1488519,,89.16,1.4698139946825104,0.0200168000890802,0.0002999999970354
6,3.5376,,2.3641782,,89.16,1.2371519188723308,0.0200168000890802,0.0002999999970354
6,3.6691,,2.4520595,,89.16,1.6326781960578374,0.0200168000890802,0.0002999999970354
6,8.5704,0.0691,5.727598,0.04617953,89.16,1.500265102002249,0.0200168000890802,0.0002999999970354
6,9.759,0.0916,6.5219398,0.06121628,89.16,1.112366641382041,0.0200168000890802,0.0002999999970354
6,10.8742,0.0786,7.2672276,0.05252838,89.16,1.6322598013952012,0.0200168000890802,0.0002999999970354
6,12.0094,0.0604,8.025882,0.04036532,89.16,1.6047643574968018,0.0200168000890802,0.0002999999970354
6,13.1633,0.0883,8.797033,0.05901089,89.16,1.1874783790301744,0.0200168000890802,0.0002999999970354
6,14.2917,0.1048,9.551143,0.07003784,89.16,1.0883281039302442,0.0200168000890802,0.0002999999970354
6,15.533,0.1179,10.380704,0.07879257,89.16,1.4824955039749756,0.0200168000890802,0.0002999999970354
6,16.94,0.1069,11.321002,0.07144127,89.16,0.9397524836093099,0.0200168000890802,0.0002999999970354
6,18.1055,0.1383,12.099906,0.09242589,89.16,0.9999082024751084,0.0200168000890802,0.0002999999970354
6,12.026002,5.2889605,8.652095,3.9436364,89.64,0.8073622697510056,0.0200168000890802,0.0002999999970354
7,5.9666,,5.1288896,,162.18,1.5869243775021384,0.0237664417828683,8.672666157e-06
7,5.5306,,4.7541037,,162.18,1.4648508565920322,0.0237664417828683,8.672666157e-06
7,5.4603,,4.693674,,162.18,1.505165378626335,0.0237664417828683,8.672666157e-06
7,8.0866,0.0147,6.9512415,0.01263612,162.18,1.580729031021968,0.0237664417828683,8.672666157e-06
7,9.9842,0.0136,8.582418,0.01169056,162.18,1.25891577553834,0.0237664417828683,8.672666157e-06
7,12.2361,0.0217,10.518151,0.01865332,162.18,1.368741195952894,0.0237664417828683,8.672666157e-06
7,14.8364,0.0187,12.753369,0.01607452,162.18,0.9397969981276575,0.0237664417828683,8.672666157e-06
7,17.6527,0.0277,15.174261,0.02381092,162.18,0.9145300735359735,0.0237664417828683,8.672666157e-06
7,20.6586,0.03,17.758133,0.025788,162.18,1.4684029617904717,0.0237664417828683,8.672666157e-06
7,23.8414,0.0408,20.494068,0.03507168,162.18,1.2710962061431326,0.0237664417828683,8.672666157e-06
7,27.2397,0.0647,23.415247,0.05561612,162.18,1.3652361064811889,0.0237664417828683,8.672666157e-06
7,30.6418,0.0842,26.339691,0.07237832,162.18,1.5649988574160256,0.0237664417828683,8.672666157e-06
7,17.223494,2.617465,13.935458,2.288139,161.14,1.4347183200005909,0.0237664417828683,8.672666157e-06
8,9.618808,3.6765885,5.446547,2.1815813,84.8,1.353579400657996,0.0567058961836858,0.0002001384571189
9,16.110954,1.9661326,9.249564,1.1991309,117.98,1.3592071607454135,0.0586659188070701,0.0003098810495289
10,16.754107,2.198932,13.186249,1.8662418,131.38,1.1039500980626122,0.0236593677083097,9.0062307294e-06
11,13.338938,2.303553,6.578415,1.2126405,30.53,0.8308178345679395,0.0567058961836858,0.0002001384571189
12,21.776,,5.2567263,,167.04,1.2367173892323624,0.021836773492147,1.63446409828e-05
12,20.119,,4.8567266,,167.04,1.0145846728195291,0.021836773492147,1.63446409828e-05
12,18.441,,4.4516573,,167.04,1.208528643724636,0.021836773492147,1.63446409828e-05
12,24.1526,0.1897,5.8304377,0.04579358,167.04,1.6534030732681662,0.021836773492147,1.63446409828e-05
12,29.117,0.2362,7.028844,0.05701868,167.04,1.0339394858653408,0.021836773492147,1.63446409828e-05
12,34.2786,0.2304,8.274854,0.05561856,167.04,0.8583027416890661,0.021836773492147,1.63446409828e-05
12,38.7014,0.2579,9.342518,0.06225706,167.04,1.0813838920219965,0.021836773492147,1.63446409828e-05
12,43.1218,0.2765,10.409602,0.0667471,167.04,1.0935937577666837,0.021836773492147,1.63446409828e-05
12,48.033,0.2701,11.595166,0.06520214,167.04,1.461916514726895,0.021836773492147,1.63446409828e-05
12,54.4022,0.3361,13.132691,0.08113454,167.04,1.3570321523412785,0.021836773492147,1.63446409828e-05
12,62.0381,0.4993,14.975997,0.12053102,167.04,1.5838982091064135,0.021836773492147,1.63446409828e-05
12,69.9495,0.5319,16.885809,0.12840065,167.04,1.4643135403273875,0.021836773492147,1.63446409828e-05
12,42.768227,3.446712,9.356668,0.96566594,168.2,1.2063868614400706,0.021836773492147,1.63446409828e-05
13,9.905,0.041,5.326909,0.0220498,132.96,1.6140203846660346,0.0168316442436987,0.0001234187152233
13,12.8563,0.0929,6.9141183,0.04996162,132.96,0.966972919907704,0.0168316442436987,0.0001234187152233
13,16.87024,2.6414711,13.400508,2.2691085,95.0,0.8227120731338605,0.0168316442436987,0.0001234187152233
14,27.332,,16.145012,,10.47,0.8900478607756418,0.0387001063248896,3.60249229176e-05
14,25.865,,15.278456,,10.47,1.5223593505964503,0.0387001063248896,3.60249229176e-05
14,25.03,,14.785221,,10.47,1.2618772302513874,0.0387001063248896,3.60249229176e-05
14,17.0418,0.0495,10.066591,0.02923965,10.47,0.9612717790336018,0.0387001063248896,3.60249229176e-05
14,22.313,0.0641,13.180289,0.03786387,10.47,1.3010447751033636,0.0387001063248896,3.60249229176e-05
14,28.8484,0.0772,17.04075,0.04560204,10.47,0.9523121027131685,0.0387001063248896,3.60249229176e-05
14,36.5777,0.0665,21.606447,0.03928155,10.47,1.496320375077736,0.0387001063248896,3.60249229176e-05
14,45.2321,0.083,26.718601,0.0490281,10.47,1.2461562755740307,0.0387001063248896,3.60249229176e-05
14,54.9355,0.1205,32.4504,0.07117935,10.47,1.1810212260964825,0.0387001063248896,3.60249229176e-05
14,65.4662,0.1423,38.670883,0.08405661,10.47,1.1015120891478767,0.0387001063248896,3.60249229176e-05
14,76.2577,0.2009,45.04542,0.11867163,10.47,1.4302825931188885,0.0387001063248896,3.60249229176e-05
14,87.3164,0.1883,51.577797,0.11122881,10.47,1.1618126105533904,0.0387001063248896,3.60249229176e-05
14,46.4645,4.17255,24.838264,2.9970033,9.5,0.887649919316101,0.0387001063248896,3.60249229176e-05
15,8.4129,,7.6717234,,82.19,0.9180059021205154,0.0376593863478713,0.0001000692285594
15,7.5572,,6.891411,,82.19,1.7618976645495146,0.0376593863478713,0.0001000692285594
15,6.9206,,6.310895,,82.19,1.708580690707607,0.0376593863478713,0.0001000692285594
15,9.3039,0.0228,8.484226,0.02079132,82.19,1.4997071338107495,0.0376593863478713,0.0001000692285594
15,11.8085,0.0307,10.768171,0.02799533,82.19,1.0658699614595197,0.0376593863478713,0.0001000692285594
15,14.2028,0.0318,12.951533,0.02899842,82.19,1.769176377347724,0.0376593863478713,0.0001000692285594
15,16.3085,0.0363,14.871721,0.03310197,82.19,1.5787509039657945,0.0376593863478713,0.0001000692285594
15,18.0044,0.0297,16.418213,0.02708343,82.19,1.5168901891589956,0.0376593863478713,0.0001000692285594
15,19.7077,0.0347,17.97145,0.03164293,82.19,1.2493615021437887,0.0376593863478713,0.0001000692285594
15,21.2029,0.0289,19.334925,0.02635391,82.19,1.072241561845159,0.0376593863478713,0.0001000692285594
15,22.8493,0.0649,20.836277,0.05918231,82.19,0.8963909621534993,0.0376593863478713,0.0001000692285594
15,24.565,0.0826,22.400824,0.07532294,82.19,1.7026023965438417,0.0376593863478713,0.0001000692285594
16,12.736,,6.2737536,,36.28,1.2557762898336111,0.0189017430184984,2.46837433628e-05
16,12.059,,5.9402633,,36.28,1.0023633647952304,0.0189017430184984,2.46837433628e-05
16,11.639,,5.7333713,,36.28,1.1059566241506524,0.0189017430184984,2.46837433628e-05
16,16.2373,0.0654,7.998494,0.03221604,36.28,1.379219568941896,0.0189017430184984,2.46837433628e-05
16,19.3893,0.1011,9.551169,0.04980186,36.28,0.9767727829392318,0.0189017430184984,2.46837433628e-05
16,22.3288,0.0906,10.9991665,0.04462956,36.28,1.6566142840923757,0.0189017430184984,2.46837433628e-05
16,25.2622,0.1294,12.4441595,0.06374244,36.28,1.5585195298352101,0.0189017430184984,2.46837433628e-05
16,28.1863,0.079,13.884571,0.0389154,36.28,1.519462955950937,0.0189017430184984,2.46837433628e-05
16,31.0239,0.0997,15.282373,0.04911222,36.28,1.2320930397751038,0.0189017430184984,2.46837433628e-05
16,33.7821,0.0992,16.641062,0.04886592,36.28,1.4273088407024432,0.0189017430184984,2.46837433628e-05
16,36.2254,0.129,17.844631,0.0635454,36.28,1.3840979689127355,0.0189017430184984,2.46837433628e-05
16,38.5895,0.1102,19.009188,0.05428452,36.28,1.4498466015548201,0.0189017430184984,2.46837433628e-05
