hip_id	apparent_magnitude	discovery_date	is_variable	name
95947	2.23	1603-01-01	false	Deneb Kaitos
1067	2.04	1603-01-01	false	Caph
3179	2.28	1603-01-01	true	Gamma Cassiopeiae
3419	2.15	1603-01-01	false	Ruchbah
8645	2.64	1603-01-01	false	Mira
13847	2.84	1603-01-01	false	Acamar
18532	2.85	1603-01-01	false	Menkib
23015	3.00	1603-01-01	false	Hassaleh
25930	1.70	1603-01-01	false	Alnilam
26311	1.69	1603-01-01	false	Alnitak
26727	2.25	1603-01-01	false	Saiph
30324	2.45	1603-01-01	false	Mirzam
33977	2.50	1603-01-01	false	Muliphein
39953	2.65	1603-01-01	false	Naos
44127	2.90	1603-01-01	false	Alphard B
48455	2.95	1603-01-01	false	Merak
54061	1.79	1603-01-01	false	Dubhe B
59196	2.75	1603-01-01	false	Phecda
60965	3.01	1603-01-01	false	Megrez
62956	1.40	1603-01-01	false	Regulus B
66249	2.55	1603-01-01	false	Mizar B
71860	2.80	1603-01-01	false	Zubenelgenubi
72622	2.70	1603-01-01	false	Kornephoros
78265	2.60	1603-01-01	false	Yed Prior
80112	2.88	1603-01-01	false	Sabik
82273	2.43	1603-01-01	false	Rasalgethi
86228	2.29	1603-01-01	true	Eta Aquilae
87833	2.46	1603-01-01	false	Tarazed
94114	2.87	1603-01-01	false	Sadalmelik
109427	2.42	1603-01-01	false	Algenib
