teff,radius_km,mass_mjup
4323.6,491553.3,671.169
2784.9,214166.1,227.084
5516.3,603362.6,961.256
5827.8,723744.0,1120.415
2213.2,158964.4,157.135
2520.3,173474.7,183.831
4430.0,467821.4,582.003
3579.0,301754.2,406.908
3877.9,363931.6,517.965
2776.4,240039.8,264.007
6002.1,736977.5,1066.524
5311.8,654647.3,982.672
4176.7,426191.8,553.722
7164.2,859471.5,1302.314
5024.9,519579.3,765.261
2977.4,222060.4,262.681
4543.9,512615.9,706.714
2643.6,225718.4,242.422
6010.1,665379.9,1065.709
3959.9,383834.8,504.321
3975.2,351040.3,452.355
3123.6,263534.6,303.288
7709.9,880125.7,1406.276
3767.7,352614.4,463.549
3492.4,323297.6,371.763
3434.8,310538.0,395.307
5298.4,556065.3,806.287
4838.0,467937.0,704.834
4662.2,504070.1,732.213
4818.9,542323.4,742.965
10272.7,1618248.1,2949.564
3661.7,317427.2,378.387
3153.9,295773.0,347.453
2901.1,262966.1,272.496
5655.9,573662.8,862.53
6422.9,764484.9,1304.132
3947.4,352942.7,478.96
3047.0,224852.9,266.764
2790.2,224083.6,270.155
5135.6,611817.4,886.929
5464.0,688231.0,955.697
5358.5,613675.1,813.364
3268.2,267319.2,307.081
4636.6,517516.6,633.049
4276.3,423989.9,576.795
4687.7,424820.2,626.213
5793.1,740101.9,1059.696
4594.4,421797.7,628.694
5593.9,597204.6,907.405
4512.0,429178.8,554.414
4599.2,479901.7,662.785
5214.8,595711.8,873.237
2401.9,147495.2,162.247
3810.2,325596.3,405.785
3321.3,310822.1,359.377
3034.3,265442.1,313.743
3855.6,321628.1,420.612
7017.1,986087.9,1751.502
2704.8,219993.2,261.301
5995.9,762183.2,1145.72
2244.7,155151.6,157.135
3422.2,309935.6,400.84
4402.1,398095.1,598.611
5230.5,596602.0,842.091
5338.8,605441.2,931.345
6102.2,691070.0,995.068
3612.1,307865.0,396.394
3548.3,282820.9,361.708
5447.2,701425.2,1048.269
3567.8,398156.3,450.013
2489.3,182597.5,187.798
2787.6,194115.2,210.635
2709.4,225303.4,250.249
5021.3,505361.3,783.768
4119.0,414887.1,588.885
5244.2,551104.3,915.906
3466.7,331401.9,372.086
4270.8,478607.9,596.582
4990.3,611107.0,869.236
3420.8,330171.0,409.176
4555.1,497309.5,758.669
3189.8,258416.8,307.969
3615.5,346488.0,391.843
3587.7,315056.9,385.987
2433.7,180022.1,200.28
5176.3,501878.1,777.359
3479.0,316929.2,359.659
4108.1,402159.7,530.34
4928.7,499901.1,773.468
4766.4,509777.4,752.432
5384.0,576751.1,897.565
4189.7,373237.5,484.966
3605.9,307893.7,373.273
3916.7,370829.0,492.357
2284.2,158550.8,157.135
2182.5,158103.6,163.566
2469.1,179942.6,180.816
2644.7,206745.7,235.042
4934.9,603235.9,724.606
3194.8,217085.2,253.083
3429.6,299861.7,387.101
7752.9,878860.8,1495.929
3610.0,314838.3,393.993
5337.9,590999.5,951.287
2717.2,222538.6,247.409
4134.8,318805.9,444.916
2842.1,218739.1,244.159
3484.7,300711.9,399.503
5686.5,675194.0,1033.449
2274.3,157189.1,157.135
4866.3,594418.3,745.126
4559.7,442160.0,635.9
3452.7,270891.8,325.259
2181.1,151988.1,163.705
4316.7,401540.4,556.45
3291.5,274560.8,342.656
4399.2,484691.9,633.312
4303.0,396225.7,534.354
7349.4,1258239.4,1908.991
3375.4,350296.1,432.919
2729.7,196748.1,230.121
4368.2,441221.1,606.635
4229.8,443209.6,626.874
6598.9,1000847.2,1569.99
6180.3,631927.9,1029.13
4806.4,471224.1,699.981
7374.7,998393.1,1707.408
2763.3,192485.6,201.425
3289.5,281881.9,313.522
3019.3,236025.4,248.817
3331.3,319727.3,383.484
2234.9,164115.6,173.118
5410.0,627363.6,875.959
3798.7,327602.4,438.938
2374.9,141429.5,160.472
2542.6,212589.3,231.595
4768.9,465980.6,675.945
5959.1,684982.3,1031.634
9484.6,1459164.7,2624.442
13007.3,2652719.6,5495.827
4930.1,548050.4,733.203
2658.8,220505.6,236.506
2209.4,154003.1,157.135
4365.7,465353.5,651.449
2856.8,238307.9,272.679
3423.4,297286.7,375.67
3131.0,267158.8,320.588
3745.5,416728.8,468.71
5960.7,803253.6,1239.579
4708.4,453077.6,595.865
3757.2,348887.1,462.018
2727.8,216067.6,227.878
2083.6,158417.9,157.135
3546.6,304031.5,354.792
4025.5,390867.2,502.756
8184.7,1317951.8,2182.512
4232.2,463994.9,583.146
6286.5,765132.2,1159.151
2969.3,288489.8,351.097
2452.7,195012.8,202.046
2756.5,205379.2,241.207
3034.9,241973.8,292.652
10649.5,1574838.9,2918.405
2895.5,216083.0,270.829
5960.2,716423.8,1031.935
3053.4,213153.8,253.604
6109.4,712892.7,1112.325
4645.0,507664.7,716.002
3644.2,362590.6,462.762
